label_raw,n,rules_roles,rules_context,rules_participant,rule_id,expected_roles,expected_context,expected_participant,note
stationary,306,stationery,wedding_day,,exact,,,,
linen,293,rentals,wedding_day,,exact,,,,
wedding planner,289,planner,wedding_day,,exact,,,,
hmua,287,hair|makeup,wedding_day,,exact,,,,
venue management & bar,286,venue_management|bar_service,wedding_day,,exact,,,,
mua,276,makeup,wedding_day,,exact,,,,
coordination,257,coordinator,wedding_day,,exact,,,,
planning & design,255,planner|event_design,wedding_day,,exact,,,,
wedding dress,253,attire,wedding_day,,exact,,,,
groom,247,,wedding_day,groom,participant,,,,
invitations,243,stationery,wedding_day,,exact,,,,
officiant,228,officiant,wedding_day,,exact,,,,
dessert,225,desserts,wedding_day,,exact,,,,
jewelry,214,jewelry,wedding_day,,exact,,,,
tux,209,attire,wedding_day,,exact,,,,
reception,209,venue,reception,,phase_venue,,,,
hair + makeup,207,hair|makeup,wedding_day,,exact,,,,
floral design,202,florist,wedding_day,,exact,,,,
content,201,content_creator,wedding_day,,exact,,,,
rings,195,jewelry,wedding_day,,exact,,,,
shoes,184,accessories,wedding_day,,exact,,,,
content creation,184,content_creator,wedding_day,,exact,,,,
glam,169,makeup,wedding_day,,exact,,,,
planning and design,162,planner|event_design,wedding_day,,exact,,,,
desserts,155,desserts,wedding_day,,exact,,,,
tent,153,tent,wedding_day,,exact,,,,
paper goods,152,stationery,wedding_day,,exact,,,,
photo credit,152,photographer,wedding_day,,exact,,,,
production,145,lighting_production,wedding_day,,exact,,,,
hair stylist,143,hair,wedding_day,,exact,,,,
at @ (secondary/stay),143,accommodations,getting_ready,,exact,,,,
model,140,,wedding_day,model,participant,,,,
ceremony,139,venue,ceremony,,phase_venue,,,,
photography by,129,photographer,wedding_day,,exact,,,,
venue & catering,123,venue|catering,wedding_day,,exact,,,,
floral & decor,122,florist|decor_other,wedding_day,,exact,,,,
florals & decor,122,florist|decor_other,wedding_day,,exact,,,,
alcohol,120,bar_service,wedding_day,,exact,,,,
make up,118,makeup,wedding_day,,exact,,,,
bakery,118,cake,wedding_day,,exact,,,,
beauty team,117,hair|makeup,wedding_day,,exact,,,,
makeup artist,116,makeup,wedding_day,,exact,,,,
host,116,,wedding_day,host_family,participant,,,,
bar,116,bar_service,wedding_day,,exact,,,,
location,115,venue,wedding_day,,exact,,,,
gowns,115,attire,wedding_day,,exact,,,,
menswear,112,attire,wedding_day,,exact,,,,
bridal attire,111,attire,wedding_day,,exact,,,,
tabletop,102,rentals,wedding_day,,exact,,,,
cover photo,101,photographer,wedding_day,,exact,,,,
dresses,100,attire,wedding_day,,exact,,,,
bridal gown,99,attire,wedding_day,,exact,,,,
photo by,59,photographer,wedding_day,,exact,,,,
makeup by,38,makeup,wedding_day,,exact,,,,
baker,29,cake,wedding_day,,exact,,,,
dance lessons,27,dancers_choreography,wedding_day,,exact,,,,
photography & videography,23,photographer|videographer,wedding_day,,exact,,,,
favors,20,favors_gifts,wedding_day,,exact,,,,
decor & design,19,decor_other|event_design,wedding_day,,exact,,,,
saxophone,18,live_music,wedding_day,,exact,,,,
stationery & signage,17,stationery|signage,wedding_day,,exact,,,,
print goods,16,stationery,wedding_day,,exact,,,,
music by,9,live_music,wedding_day,,exact,,,,
pianist,9,live_music,wedding_day,,exact,,,,
napkins,9,rentals,wedding_day,,exact,,,,
brides dress,9,attire,wedding_day,,exact,,,,
linens + chargers,8,rentals,wedding_day,,exact,,,,
lighting & drapery,8,lighting_production,wedding_day,,exact,,,,
groom wedding day look,8,attire,wedding_day,,exact,,,,
floral & event design,7,florist|event_design,wedding_day,,exact,,,,
bridal stylist,7,attire,wedding_day,,exact,,,,
second for,7,photographer,wedding_day,,exact,,,,
lighting design,7,lighting_production,wedding_day,,exact,,,,
the photo,7,photographer,wedding_day,,exact,,,,
limelight,6,noise,wedding_day,,noise,,,,
wedding stylist,6,event_design,wedding_day,,exact,,,,
dancefloor,6,lighting_production,wedding_day,,exact,,,,
social media creator,5,content_creator,wedding_day,,exact,,,,
magic,5,entertainment_other,wedding_day,,exact,,,,
vibe with,5,noise,wedding_day,,noise,,,,
invitations & signage,5,stationery|signage,wedding_day,,exact,,,,
working on behalf of,4,noise,wedding_day,,noise,,,,
paebaek ceremony,4,other,ceremony,,unmatched,,,,
first look,4,noise,wedding_day,,noise,,,,
first two images,4,noise,wedding_day,,noise,,,,
dress salon,4,attire,wedding_day,,h.attire,,,,
vemana’s tuxedo and shoes,4,attire|accessories,wedding_day,,compound(h.attire+exact),,,,
manicurist,4,beauty_services,wedding_day,,exact,,,,
wardrobe,4,attire,wedding_day,,h.attire,,,,
livestream,4,videographer,wedding_day,,exact,,,,
cake by,4,cake,wedding_day,,exact,,,,
signage & paper goods,4,signage|stationery,wedding_day,,compound(exact+exact),,,,
fan,4,other,wedding_day,,unmatched,,,,
featured,4,noise,wedding_day,,noise,,,,
featured in order of appearance,4,noise,wedding_day,,noise,,,,
placecards,4,stationery,wedding_day,,exact,,,,
linens + rentals,3,rentals,wedding_day,,compound(exact+exact),,,,
blush models,3,other,wedding_day,,unmatched,,,,
cake letters,3,decor_other,wedding_day,,exact,,,,
call your crew,3,noise,wedding_day,,noise,,,,
dj & lights,3,dj|lighting_production,wedding_day,,compound(exact+exact),,,,
makeup and hair stylist,3,makeup|hair,wedding_day,,compound(exact+exact),,,,
cart rental,3,rentals,wedding_day,,h.rentals,,,,
edited by,3,album_editing,wedding_day,,exact,,,,
paebaek,3,other,wedding_day,,unmatched,,,,
photograph,3,photographer,wedding_day,,exact,,,,
bridal hmua,3,hair|makeup,wedding_day,,exact.stripped,,,,
artists’ mua,3,makeup,wedding_day,,h.makeup,,,,
baraat horse,3,other,sangeet_mehndi,,unmatched,,,,
congratulations,3,noise,wedding_day,,noise,,,,
hair stylist & make,3,hair|makeup,wedding_day,,compound(exact+exact),,,,
welcome sign art,3,signage,wedding_day,,exact,,,,
floral wholesaler,2,florist,wedding_day,,exact,,,,
floral purses,2,accessories,wedding_day,,exact,,,,
stationery and paperie,2,stationery,wedding_day,,compound(exact+h.stationery),,,,
producer,2,planner,wedding_day,,exact,,,,
styling concept,2,event_design,wedding_day,,h.event_design,,,,
floral & production,2,florist|lighting_production,wedding_day,,compound(exact+exact),,,,
invite suite,2,stationery,wedding_day,,h.stationery,,,,
bridal jewellery,2,jewelry,wedding_day,,exact.stripped,,,,
pictured,2,noise,wedding_day,,noise,,,,
late night sax,2,live_music,wedding_day,,h.live_music,,,,
last weekend our co,2,other,wedding_day,,unmatched,,,,
brides’ hair & makeup,2,hair|makeup,wedding_day,,compound(h.hair+exact),,,,
thank you to the following,2,other,wedding_day,,unmatched,,,,
photo design & florals,2,event_design|florist,wedding_day,,compound(h.event_design+exact),,,,
email us to schedule a tour,2,noise,wedding_day,,noise,,,,
bridal assistant,2,staffing,wedding_day,,exact,,,,
trolley and shuttles,2,transportation,wedding_day,,compound(exact),,,,
caterering,2,other,wedding_day,,unmatched,,,,
necklace,2,jewelry,wedding_day,,exact,,,,
multi,2,noise,wedding_day,,noise,,,,
veil by,2,accessories,wedding_day,,exact,,,,
dress rentals,2,attire,wedding_day,,exact,,,,
moravian stars,2,decor_other,wedding_day,,exact,,,,
models pdxmodelcouple,2,other,wedding_day,,unmatched,,,,
creative team,2,noise,wedding_day,,noise,,,,
mirror & day,2,other,wedding_day,,unmatched,,,,
drag performer,2,entertainment_other,wedding_day,,exact,,,,
live band + ceremony musicians,2,band|live_music,ceremony,,compound(exact+exact).ctx,,,,
second shots for,2,photographer,wedding_day,,exact,,,,
speaker beauty,2,other,wedding_day,,unmatched,,,,
special appearance,2,noise,wedding_day,,noise,,,,
rentals and place settings,2,rentals,wedding_day,,compound(exact),,,,
wedding lighting,1,lighting_production,wedding_day,,exact.stripped,,,,
wedding venue and coordinator,1,venue|coordinator,wedding_day,,compound(exact+exact),,,,
westin chicago river north,1,other,wedding_day,,unmatched,,,,
with thanks to,1,noise,wedding_day,,noise,,,,
a little over a year ago,1,other,wedding_day,,unmatched,,,,
a portion of proceeds supports,1,other,wedding_day,,unmatched,,,,
a wedding morning without the frenzy,1,other,wedding_day,,unmatched,,,,
absolutely flawless makeup by,1,makeup,wedding_day,,exact.stripped,,,,
adorned with florals by,1,florist,wedding_day,,exact.stripped,,,,
after a golf,1,other,wedding_day,,unmatched,,,,
alliance bakery,1,cake,wedding_day,,h.cake,,,,
and hair and makeup by the talented,1,hair|makeup,wedding_day,,exact.stripped,,,,
associate shot by,1,photographer,wedding_day,,exact,,,,
auction consignment,1,other,wedding_day,,unmatched,,,,
band & late night dj,1,band|dj,wedding_day,,compound(exact+h.dj),,,,
banda,1,cultural_performers,wedding_day,,exact,,,,
best wedding blush,1,other,wedding_day,,unmatched,,,,
best wedding concealer,1,other,wedding_day,,unmatched,,,,
best wedding mascara,1,other,wedding_day,,unmatched,,,,
bridal gown & after party dress,1,attire,after_party,,compound(exact+exact).ctx,,,,
bridal sari,1,attire,wedding_day,,exact,,,,
bridal valima outfit,1,attire,wedding_day,,h.attire.stripped,,,,
bride hair stylist,1,hair,wedding_day,,exact.stripped,,,,
bride’s makeup by suky v,1,makeup,wedding_day,,exact.stripped,,,,
butterfly productions,1,other,wedding_day,,unmatched,,,,
cake and dessert,1,cake|desserts,wedding_day,,compound(exact+exact),,,,
celebrate event planning & design,1,planner|event_design,wedding_day,,compound(h.planner+exact),,,,
champagne passers,1,staffing,wedding_day,,exact,,,,
chicago just got tastier,1,other,wedding_day,,unmatched,,,,
chocolate artist,1,desserts,wedding_day,,exact,,,,
client credits,1,noise,wedding_day,,noise,,,,
cookies and cake pops,1,desserts,wedding_day,,compound(exact),,,,
cover shot by,1,photographer,wedding_day,,exact,,,,
culinary,1,catering,wedding_day,,exact,,,,
design and floral,1,event_design|florist,wedding_day,,compound(exact+exact),,,,
design and florals by us,1,event_design|florist,wedding_day,,compound(exact+exact.stripped),,,,
designed by,1,other,wedding_day,,unmatched,,,,
director + editor,1,album_editing,wedding_day,,compound(exact),,,,
dm to inquire,1,noise,wedding_day,,noise,,,,
drapery & production,1,lighting_production,wedding_day,,compound(exact+exact),,,,
draping + lighting,1,lighting_production,wedding_day,,compound(exact+exact),,,,
edward,1,other,wedding_day,,unmatched,,,,
entertainment director,1,dj,wedding_day,,exact,,,,
entertainment time chicago,1,other,wedding_day,,unmatched,,,,
erika’s dress,1,attire,wedding_day,,h.attire,,,,
event calligraphy,1,calligraphy,wedding_day,,h.calligraphy,,,,
fashion editorial for,1,other,wedding_day,,unmatched,,,,
film scanning,1,album_editing,wedding_day,,exact,,,,
five,1,noise,wedding_day,,noise,,,,
florist and cake,1,florist|cake,wedding_day,,compound(exact+exact),,,,
from,1,noise,wedding_day,,noise,,,,
full service planning,1,planner,wedding_day,,exact.stripped,,,,
ginger krebs,1,other,wedding_day,,unmatched,,,,
gown boutique,1,attire,wedding_day,,h.attire,,,,
groom hair stylist,1,hair,wedding_day,,exact.stripped,,,,
groom valima outfit,1,attire,wedding_day,,h.attire.stripped,,,,
guest experience,1,other,wedding_day,,unmatched,,,,
hair extensions,1,hair,wedding_day,,exact,,,,
hair for bride and bridal party,1,hair,wedding_day,,exact.stripped,,,,
hair stylist + makeup artist,1,hair|makeup,wedding_day,,compound(exact+exact),,,,
happy first,1,noise,wedding_day,,noise,,,,
heading back to lga after a jam,1,other,wedding_day,,unmatched,,,,
highlight,1,noise,wedding_day,,noise,,,,
indian catering,1,catering,wedding_day,,exact.stripped,,,,
invitations & stationary design,1,stationery,wedding_day,,compound(exact+exact),,,,
jalbelly guzman,1,other,wedding_day,,unmatched,,,,
katie & ben,1,other,wedding_day,,unmatched,,,,
kent drake,1,other,wedding_day,,unmatched,,,,
lighting & bar rental,1,lighting_production|rentals,wedding_day,,compound(exact+exact),,,,
linen banners + table numbers,1,signage,wedding_day,,exact,,,,
little white dresses,1,attire,wedding_day,,h.attire,,,,
love is in the air,1,other,wedding_day,,unmatched,,,,
lunch and sangeet,1,catering,sangeet_mehndi,,compound(h.catering),,,,
makeupartist,1,makeup,wedding_day,,exact,,,,
marquee,1,tent,wedding_day,,exact,,,,
mediterranean sweets,1,desserts,wedding_day,,exact.stripped,,,,
mehndi dj,1,dj,sangeet_mehndi,,exact.ctx,,,,
mendhi artist,1,beauty_services,wedding_day,,exact,,,,
mini,1,noise,wedding_day,,noise,,,,
nouvelle events,1,other,wedding_day,,unmatched,,,,
our modern mexican,1,other,wedding_day,,unmatched,,,,
photographed at,1,other,wedding_day,,unmatched,,,,
photographer credits,1,noise,wedding_day,,noise,,,,
photography & cover photo,1,photographer,wedding_day,,compound(exact+exact),,,,
photography mehndi,1,photographer,sangeet_mehndi,,exact.ctx,,,,
planning from,1,planner,wedding_day,,exact.stripped,,,,
reel by,1,videographer,wedding_day,,exact,,,,
rooftop party,1,other,wedding_day,,unmatched,,,,
sangeet caterer,1,catering,sangeet_mehndi,,exact.ctx,,,,
seating chart wood buffet,1,signage,wedding_day,,exact,,,,
second videography,1,videographer,wedding_day,,h.videographer,,,,
set dresser,1,other,wedding_day,,unmatched,,,,
solo bride,1,other,wedding_day,,unmatched,,,,
sparks flew,1,noise,wedding_day,,noise,,,,
speciality linens,1,rentals,wedding_day,,h.rentals,,,,
spray and brows by,1,beauty_services,wedding_day,,exact,,,,
steph’s dress,1,attire,wedding_day,,h.attire,,,,
strings duo,1,live_music,wedding_day,,exact,,,,
sushi,1,catering,wedding_day,,exact,,,,
tabletop and linens,1,rentals,wedding_day,,compound(exact+exact),,,,
tattoo station,1,beauty_services,wedding_day,,exact,,,,
teeth whitening,1,beauty_services,wedding_day,,exact,,,,
venue & photo booth,1,venue|photo_booth,wedding_day,,compound(exact+exact),,,,
video courtesy of,1,videographer,wedding_day,,exact,,,,
villa chef,1,catering,wedding_day,,exact.stripped,,,,
vive dream design,1,event_design,wedding_day,,h.event_design,,,,
wedding cake & desserts,1,cake|desserts,wedding_day,,exact.stripped,,,,
wedding context creator,1,other,wedding_day,,unmatched,,,,
